Time,Reporter,Type,Content,Screenshot,RTF Note
2016-01-12 20:23:20,Krzysztof Kosek,(Rapid Reporter version),"1.12.12.28",,
2016-01-12 20:23:20,Krzysztof Kosek,Session Reporter,"Krzysztof Kosek",,
2016-01-12 20:23:20,Krzysztof Kosek,Session Charter,"Testowanie zakladki leave->assign leave",,
2016-01-12 20:23:33,Krzysztof Kosek,autogenerated,"screenshot saved",1_20160112_202333.jpg,
2016-01-12 20:24:54,Krzysztof Kosek,autogenerated,"screenshot saved",2_20160112_202454.jpg,
2016-01-12 20:24:55,Krzysztof Kosek,autogenerated,"screenshot saved",3_20160112_202455.jpg,
2016-01-12 20:25:45,Krzysztof Kosek,autogenerated,"screenshot saved",4_20160112_202545.jpg,
2016-01-12 20:25:47,Krzysztof Kosek,autogenerated,"screenshot saved",5_20160112_202547.jpg,
2016-01-12 20:27:39,Krzysztof Kosek,autogenerated,"screenshot saved",6_20160112_202739.jpg,
2016-01-12 20:29:06,Krzysztof Kosek,autogenerated,"screenshot saved",7_20160112_202906.jpg,
2016-01-12 20:29:15,Krzysztof Kosek,Setup,"Po nie wypełnieniu; wyskakują ''przyjazne'' komunikaty",7_20160112_202906.jpg,
2016-01-12 20:29:45,Krzysztof Kosek,Setup,"Po wypełnieniu wszystkiego; wszystko działa poprawnie.",,
2016-01-12 20:31:06,Krzysztof Kosek,Setup,"Przyjazna wyszukiwarka przy Emlpoyee Name",,
2016-01-12 20:31:18,Krzysztof Kosek,autogenerated,"screenshot saved",8_20160112_203118.jpg,
2016-01-12 20:32:33,Krzysztof Kosek,Setup,"Pokazuję; że data powinna być późniejsza.",8_20160112_203118.jpg,
2016-01-12 20:32:34,Krzysztof Kosek,autogenerated,"screenshot saved",9_20160112_203234.jpg,
2016-01-12 20:33:33,Krzysztof Kosek,Setup,"Jeśli nie wybierzemy leave type jako jedynego; także pokaże komunikat",9_20160112_203234.jpg,
2016-01-12 20:33:35,Krzysztof Kosek,autogenerated,"screenshot saved",10_20160112_203335.jpg,
2016-01-12 20:34:23,Krzysztof Kosek,Setup,"exit",10_20160112_203335.jpg,
2016-01-12 20:34:35,Krzysztof Kosek,Setup,"exit",,
2016-01-12 20:34:38,Krzysztof Kosek,Session End. Duration,"00:11:17",,
